context;pronoun_target;make;second_verb;is_back;is_prefix_used_differently;aspect;neg;has_oblect
Заставьте мне учить, пожалуйста, мне нужен человек, который будет бить меня головой о стол и вопить УЧИИ;мне;заставьте;учить;нет;да;несов.;ничего;нет
Кто-нибудь придите домой ко мне и заставьте мне встать с кровати;мне;заставьте;встать;нет;нет;сов.;ничего;нет
блин, заставьте мне кто-нибудь сделать литературу;мне;заставьте;сделать;нет;нет;сов.;ничего;да
Заставьте мне быть серьезней, мразоты;мне;заставьте;быть (серьезнее);нет;нет;несов.;ничего;нет
Заставьте мне кто-нибудь бегать;мне;заставьте;бегать;нет;нет;несов.;ничего;нет
Заставьте мне кто-нибудь вытащить наушники и готовиться к ЕГЭ!;мне;заставьте;вытащить;нет;нет;сов.;ничего;да
Заставьте мне кто-нибудь вытащить наушники и готовиться к ЕГЭ!;мне;заставьте;готовиться;нет;нет;несов.;ничего;нет
заставьте мне сделать ету сраную географию;мне;заставьте;сделать;нет;нет;сов.;ничего;да
Хэй, властительница тьмы, заставьте мне домашку вам написать.:D;мне;заставьте;написать;нет;нет;сов.;ничего;да
Заставьте мне все-таки делать алгебру, плес;мне;заставьте;делать;нет;да;несов.;ничего;да
Господи, почему я такой ленивый?! Заставьте мне встать, или я тут до вечера пролежу!;мне;заставьте;встать;нет;нет;сов.;ничего;нет
Заставьте мне кто нибудь пойти спать;мне;заставьте;спать;нет;нет;несов.;ничего;нет
заставьте мне встать со стула;мне;заставьте;встать;нет;нет;сов.;ничего;нет
заставьте мне снова смотреть на эти ебла.;мне;заставьте;смотреть;нет;да;несов.;ничего;нет
заставьте мне стихи писать. хотя кому они нужны;мне;заставьте;писать;нет;да;несов.;ничего;да
заставьте мне лечь хоть раз нормально спать;мне;заставьте;лечь спать;нет;нет;сов.;ничего;нет
Заставьте мне дорисовать Шеннона для Бровушки;мне;заставьте;дорисовать;нет;нет;сов.;ничего;да
Заставьте мне делать что-нибудь! Например диплом, а то я сплю весь день, надоело.;мне;заставьте;делать;нет;да;несов.;ничего;да
Заставьте мне сесть и начать делать урокии;мне;заставьте;сесть;нет;нет;сов.;ничего;нет
Заставьте мне сесть и начать делать урокии;мне;заставьте;начать делать;нет;нет;сов.;ничего;да
заставьте мне почитать уроки и заберите от меня музыку;мне;заставьте;почитать;нет;нет;сов.;ничего;да
кто-нибудь, заставьте мне учиться пжалки тт;мне;заставьте;учиться;нет;да;несов.;ничего;да
заставьте мне кто-нибудь написать ей эти три ебаных слова;мне;заставьте;написать;нет;нет;сов.;ничего;да
Заставьте мне заснуть!!!;мне;заставьте;заснуть;нет;нет;сов.;ничего;нет
заставьте мне вылезти из-под одеялка и идти завтракать;мне;заставьте;вылезти;нет;нет;сов.;ничего;нет
заставьте мне вылезти из-под одеялка и идти завтракать;мне;заставьте;идти завтракать;нет;нет;несов.;ничего;нет
заставьте мне сделать английский, ибо через час я должен его сдать, иначе мне пизда. умоляю, заставьте;мне;заставьте;сделать;нет;нет;сов.;ничего;да
Заставьте мне кто-нибудь учиться! Пожалуйста!;мне;заставьте;учиться;нет;да;несов.;ничего;нет
Заставьте мне кто-нибудь сесть за сочинение по французской литературе, умоляю;мне;заставьте;сесть;нет;нет;сов.;ничего;нет
Кто нибудь заставьте мне начать что нибудь делать) ленивая стала;мне;заставьте;делать;нет;да;несов.;ничего;да
заставьте мне выучить экзамен;мне;заставьте;выучить;нет;нет;сов.;ничего;да
ХЭЛП МИ КТО НИБУДЬ! ЗАСТАВЬТЕ МНЕ ВСТАТЬ(ХОТЯ БЫ) И ПОЙТИ НА КУХНЮ ПОЖРААААААТЬ!!!!!;мне;заставьте;встать;нет;нет;сов.;ничего;нет
ХЭЛП МИ КТО НИБУДЬ! ЗАСТАВЬТЕ МНЕ ВСТАТЬ(ХОТЯ БЫ) И ПОЙТИ НА КУХНЮ ПОЖРААААААТЬ!!!!!;мне;заставьте;пойти;нет;нет;сов.;ничего;нет
заставьте мне разобраться в компе и удалить ненужное...надо, а так лень.;мне;заставьте;разобраться;нет;нет;сов.;ничего;нет
заставьте мне разобраться в компе и удалить ненужное...надо, а так лень.;мне;заставьте;удалить;нет;нет;сов.;ничего;да
заставьте мне заняться делом! к примеру экзамены на магистратуру;мне;заставьте;заняться;нет;нет;сов.;ничего;нет
Сделайте мне это развидеть;мне;сделайте;развидеть;нет;да;сов.;раз-;да
Сделайте мне сдохнуть, я не могу больше;мне;сделайте;сдохнуть;нет;нет;сов.;ничего;нет
сделайте мне сдохнуть, пожалуйста эту жизнь жить слишком сложно;мне;сделайте;сдохнуть;нет;нет;сов.;ничего;нет
Что за обнимашки, ребят? Сделайте мне не видеть намек х);мне;сделайте;видеть;нет;нет;несов.;отрицание;да
СДЕЛАЙТЕ МНЕ РАЗВИДЕТЬ ЭТО;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте мне перестать прокрастинировать;мне;сделайте;прокрастинировать;нет;нет;несов.;ничего;нет
- Он сам не свой в последнее время, – бормочет Инсон, когда за Кихёном закрывается дверь. - Ага, последние лет пять. @ сделайте мне не выть;мне;сделайте;выть;нет;нет;несов.;отрицание;нет
КО МНЕ СЕЙЧАС ПРИХОДИЛ ТЕРАПЕВТ, РЕБЯТА, СДЕЛАЙТЕ МНЕ ПРЕКРАТИТЬ ОРАТЬ;мне;сделайте;орать;нет;нет;несов.;ничего;нет
Посмотрела видос по оплодотворению на акушерстве Сделайте мне развидеть;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
Омг омг!… 😱ААААААА!!! РУЧОНКА СМОТРИТ тебе в глаза и при этом ещё и УЛЫБАЕТСЯ!!… 🙈Сделайте мне развидеть этот ужас.;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте мне перестать смеяться, пожалуйста!;мне;сделайте;смеяться;нет;да;несов.;нет;нет
а нет кто-то зашипперил но лучше бы я этого не видел сделайте мне развидеть там такой ООС что пиздец;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
ненавижу шингек и ненавижу исаяму сделайте мне развидеть и забыть про эту мангу СЛИШКОМ БОЛЬНО;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
Кто-нибудь, сделайте мне перестать орать, я сам не могу. Слишком эмоциональный вечер.То с Шином ору, то на Напа с Евой, то глядя на дебилов.;мне;сделайте;орать;нет;нет;несов.;ничего;нет
Сделайте мне перестать плакать под #fleetfoxes и #mujuice;мне;сделайте;плакать;нет;нет;несов.;ничего;нет
ромеон и далиетта... СДЕЛАЙТЕ МНЕ ОРАТЬ ПОТИШЕ, ПОЖАЛУЙСТА, АХАХАХХАХАХАХХАХАХА;мне;сделайте;орать;нет;нет;несов.;ничего;нет
Хосспаде! Сделайте мне развидеть ЭТО!!;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
Надо идти убраться на кухне, но блять, сделайте мне встать;мне;сделайте;встать;нет;нет;сов.;ничего;нет
И у меня сегодня не самая приятная компания в автобусе.... А стыд-то какой~~~~ Сделайте мне развилеть, пжлста;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
Сделайте мне развидеть это!;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
Топ-модель по-китайски. Сделайте мне развидеть это;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
Блэт...Сделайте мне развидеть это!;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте мне это разслышать. Теперь вместо вчерашнего dm в голове заиграл Антонов;мне;сделайте;разслышать;нет;да;сов.;раз-;да
Сделайте мне не хотеть спать пожалуйста;мне;сделайте;хотеть спать;нет;нет;несов.;отрицание;нет
Интересный костюм для мальчика для профессионального мальчика. сделайте мне развидеть то, что я представил;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте мне вопить потише;мне;сделайте;вопить;нет;нет;несов.;ничего;нет
что за херня случилась с дизайном? сделайте мне это развидеть;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте мне поспать;мне;сделайте;поспать;нет;нет;сов.;ничего;нет
Пиздец. Сделайте мне развидеть. Что за нахуй? Ничего человечного в людях не осталось.;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
СДЕЛАЙТЕ МНЕ РАЗВИДЕТЬ;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
сделайте мне выспаться и понять что происходит вокруг пушто я не въезжаю;мне;сделайте;выспаться;нет;нет;сов.;ничего;нет
сделайте мне выспаться и понять что происходит вокруг пушто я не въезжаю;мне;сделайте;понять;нет;нет;сов.;ничего;нет
сделайте мне развидеть это;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
АААААААААААААААААААААААААААААААААААА сделайте мне развидеть это;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
(сделайте мне это развидеть) (кто-нибудь) Это хуже, чем слешное фикло по ним.;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
поймала себя на мысли, что в следующий раз готова гнать за тупарями весь евротур. сделайте мне раздумать эту мысль тттт;мне;сделайте;раздумать;нет;нет;сов.;раз-;да
Конечно, нет. Сделайте мне развидеть это, иначе я больше никогда не нацеплю на себя Gear VR (впрочем, я и так не планирую).;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте мне это развидеть 😣;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
Телка стреляет дротиками из пизды, смотреть бесплатно без смс и регистрации онлайн. Сделайте мне разветвить это.;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
#Логан: сделайте мне развидеть, пожалуйста, не хочу этого видеть и знать. #toomuchpain;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
Ёбаное говно, сделайте мне развидеть;мне;сделайте;развидеть;нет;нет;сов.;раз-;нет
сделайте мне не орать;мне;сделайте;орать;нет;нет;несов.;ничего;нет
СДЕЛАЙТЕ МНЕ НЕ ГОРЕТЬ;мне;сделайте;гореть;нет;нет;несов.;отрицание;нет
сделайте мне это развидеть!)))))));мне;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте мне развидеть это..;мне;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте мне не умирать пожалуйста я же только домой приехала;мне;сделайте;умирать;нет;нет;несов.;отрицание;нет
Сделайте мне не плакать, пожалуйста;мне;сделайте;плакать;нет;нет;несов.;отрицание;нет
Сделайте мне перестать грустить;мне;сделайте;грустить;нет;нет;несов.;ничего;нет
Сделайте меня разнюхать это;меня;сделайте;разнюхать;нет;нет;сов.;раз-;да
'прИзрение' Сделайте меня развидеть это?! Кровь из глаз пошла;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
СДЕЛАЙТЕ МЕНЯ ПРЕКРАТИТЬ ШУТИТЬ;меня;сделайте;шутить;нет;нет;несов.;ничего;нет
Сделайте меня это развидеть (;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Пожалуйста, сделайте меня это развидеть!!!;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте меня развидеть этот тупизм, идиотизм и всякое такое изм!;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте меня спать;меня;сделайте;спать;нет;нет;несов.;ничего;нет
сделайте меня прекратить умирать ОРИРУЮ-МУРИРУЮ МОЙ ПИРОЖОЧЕК;меня;сделайте;умирать;нет;нет;несов.;ничего;нет
сделайте меня не думать о том, что ничего страшного не произойдет, если я умру;меня;сделайте;думать;нет;да;несов.;отрицание;нет
Сделайте меня развидеть это... ты же вроде с детьми и женой, чуть ли не единственная надежда твиттера...;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте меня развидеть, я ещё молод, мне нужно детей делать;меня;сделайте;развидеть;нет;нет;сов.;раз-;нет
сейчас я вижу тектоник. сделайте меня развидеть это;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
сделайте меня развидеть;меня;сделайте;развидеть;нет;нет;сов.;раз-;нет
сделайте меня собраться на пары;меня;сделайте;собраться;нет;нет;сов.;ничего;нет
сделайте меня рисовать;меня;сделайте;рисовать;нет;да;несов.;ничего;нет
Сделайте меня развидеть эти беспилотные летательные аппараты;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
БЛЯ СДЕЛАЙТЕ МЕНЯ ПЕРЕСТАТЬ ОРАТЬ;меня;сделайте;орать;нет;нет;несов.;ничего;нет
Гоголь. Начало (сделайте меня это забыть);меня;сделайте;забыть;нет;нет;несов.;ничего;да
Хакухей. Сделайте меня это развидеть. Нельзя за неимением даных о Хакубе так всё извращать.;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
ля ребят сделайте меня не пить больше;меня;сделайте;пить;нет;нет;несов.;отрицание;нет
Сделайте меня не учить.;меня;сделайте;учить;нет;да;несов.;отрицание;нет
Чувствую себя стариком. Услышал, что слушает нынче молодёжь. Сделайте меня забыть это;меня;сделайте;забыть;нет;нет;несов.;ничего;да
сделайте меня не орать;меня;сделайте;орать;нет;нет;несов.;отрицание;нет
понимаю что если начну над этим думать то додумаюсь до чего-то очень нехорошего до еще одного черновика например сделайте меня не писать это;меня;сделайте;писать;нет;да;несов.;отрицание;да
Сделайте меня перестать залипать на фанкамы с Тэ и пойти спать;меня;сделайте;залипать;нет;нет;несов.;ничего;нет
Я увидел Домино из нового Дедпула. Сделайте меня развидеть;меня;сделайте;развидеть;нет;нет;сов.;раз-;нет
Когда-то, когда я учился в универе, было в ходу устойчивое выражение: Сделайте меня развидеть это обратно!. Жаль, что сейчас оно не в моде;меня;сделайте;развидеть;есть;нет;сов.;раз-;да
Реджина мачеха Белоснежки Белоснежка мать Эммы Эмма мать Генри Реджина прабабушка Генри Сделайте меня это забыть;меня;сделайте;забыть;нет;нет;несов.;ничего;да
СДЕЛАЙТЕ МЕНЯ РАЗВИИИИИДЕТЬ;меня;сделайте;развидеть;нет;нет;сов.;раз-;нет
сделайте меня перестать писать об этом.;меня;сделайте;писать;нет;да;несов.;ничего;нет
Your own personal kitty. Reach out and touch paw. Aww сделайте меня перестать х');меня;сделайте;перестать;нет;нет;сов.;ничего;нет
И весь день хожу с лицом Сделайте меня развидеть это;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте меня перестать покупать книги. Всё равно годами руки не доходят.;меня;сделайте;покупать;нет;нет;несов.;ничего;да
Сделайте меня протрезветь хоть немного;меня;сделайте;протрезветь;нет;нет;сов.;ничего;нет
У сестры в бардачке машины увидела вибратор. Сделайте меня развидеть;меня;сделайте;развидеть;нет;нет;сов.;раз-;нет
Сделайте меня развидеть это.;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Селеник... сделайте меня это развидеть и забыть, пожалуйста.;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Issa Lish норм а остальные сделайте меня это развидить;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте меня перестать рисовать мускулистых женщин, плз;меня;сделайте;рисовать;нет;да;несов.;ничего;да
Йорха 2Б, сделайте меня развидеть это;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
БЛЯТЬ СДЕЛАЙТЕ МЕНЯ РАЗВИДЕТЬ ЭТО ААААААА ЕБАТЬ ПИЗДЕЦ НАХУЙ;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Кошмар, как же убого сделали объявления на английском в трамваях, просто сделайте меня это расслышать;меня;сделайте;расслышать;нет;да;сов.;раз-;да
Многие пишут про круглый юп. Меня больше всего коробит этот шрифт. СДЕЛАЙТЕ МЕНЯ РАЗВИДЕТЬ ЭТО.;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
Сделайте меня развидеть это, о боги, молю...;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
простите но СДЕЛАЙТЕ МЕНЯ ПЕРЕСТАТЬ ДРОЧИТЬ НА ЭТО НА ЭТИ ДОЛБАННЫЕ САПОГИ ПОЖАЛУЙСТА;меня;сделайте;дрочить;нет;нет;несов.;ничего;нет
И полицейский с голосом Ельцина. Сделайте меня развидеть это.;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
ёбаный карась сделайте меня это развидеть;меня;сделайте;развидеть;нет;нет;сов.;раз-;да
СДЕЛАЙТЕ МЕНЯ ПЕРЕПЕЧАТАТЬ ТЕ 5 СТРАНИЦ АААА;меня;сделайте;перепечатать;нет;нет;сов.;ничего;да
сделайте меня обратно родиться с этой планеты;меня;сделайте;родиться;есть;да;несов.;ничего;нет
Сделайте меня обратно спать. Не хочу никуда ехать.;меня;сделайте;спать;есть;нет;несов.;ничего;нет
Нашел видос с 'H - водород, О - кислород...' и сижу кекаю уже минут 10. Сделайте меня обратно дышать, а?;меня;сделайте;дышать;есть;нет;несов.;ничего;нет
Сделайте меня обратно дышать. #Ходорченкоживи;меня;сделайте;дышать;есть;нет;несов.;ничего;нет
че началось-то? сделайте меня обратно спать до полудня;меня;сделайте;спать;есть;нет;несов.;ничего;нет
ирл сделайте меня обратно быть классненькой я даже соглашусь что классненькая была только сделайте. тт pic.twitter.com/0nXDMUwY7j;меня;сделайте;быть (классненькой);есть;нет;несов.;ничего;нет
@AnnaShest: Господи, сделайте меня обратно мужиков любить.@AnnaShest: Господи, сделайте меня обратно мужиков любить.;меня;сделайте;любить;есть;да;несов.;ничего;да
В БАБОЧКЕ БЕНЕДИКТ СДЕЛАЙТЕ МЕНЯ ОБРАТНО ЖИТЬ;меня;сделайте;жить;есть;нет;несов.;ничего;нет
Ахаха( сделайте меня обратно спать, 4 часа это слишком мало для сна :с;меня;сделайте;спать;есть;нет;несов.;ничего;нет
@gra2us АААА! ДЖОПС ЖЫФФ!!! Сделайте меня обратно развидеть это!!1 =);меня;сделайте;развидеть;есть;нет;сов.;раз-;да
сделайте меня обратно не любить и не есть крахмал и мучное!! >_<;меня;сделайте;любить;есть;да;несов.;ничего;да
сделайте меня обратно не любить и не есть крахмал и мучное!! >_<;меня;сделайте;есть;есть;нет;несов.;ничего;да
кто нибуть, заставьте меня обратно рабоать, а не залипать в этой херне :(;меня;заставьте;работать;есть;да;несов.;ничего;нет
Кто-нибудь, заставьте меня обратно полюбить Ника Ходжсона!;меня;заставьте;полюбить;есть;нет;сов.;ничего;да
заставьте меня обратно поверить в магию,задав мне обычный вопросс это все;меня;заставьте;поверить;есть;нет;сов.;ничего;нет
Странное корейское летоисчисление, и в результате даже мне внезапно Итук-оппа. Заставьте меня обратно полюбить джоннисов.;меня;заставьте;полюбить;есть;нет;сов.;ничего;да
Сделайте мне обратно тошнить от еды Нельзя столько жрать;мне;сделайте;тошнить;есть;нет;несов.;ничего;нет
СДЕЛАЙТЕ МНЕ ОБРАТНО ДЫШАТЬ. ЧТО ЭТО...ФУ, ОТОЙДИТЕ ДРУГ ОТО ДРУГА! Я ОБОИХ ЛЮБЛЮ, НО ПО РАЗДЕЛЬНОСТИ;мне;сделайте;дышать;есть;нет;несов.;ничего;нет
